,_9m
632,-2.241384663435724
633,-2.2404615386696545
634,-2.237830255019351
635,-2.2371990868864193
636,-2.237138513616009
637,-2.2369129441747715
638,-2.2374649922711543
639,-2.243777547015706
640,-2.2446891075258026
641,-2.2450735957641372
642,-2.246564384277802
643,-2.2495758424425274
644,-2.252148869860507
645,-2.2546363760794677
646,-2.257205095240467
647,-2.258616840192672
648,-2.260066018743043
649,-2.2607007313537775
650,-2.261608734868614
651,-2.261302181985103
652,-2.260876529590674
653,-2.2602576165421073
654,-2.2600553428379033
655,-2.260575663453646
656,-2.261628668076458
657,-2.2621006342242875
658,-2.262288392208398
659,-2.263450200000987
660,-2.263225365885739
661,-2.2740971460937605
662,-2.2743924508466415
663,-2.2752562766550284
664,-2.274709697007556
665,-2.2728934103229115
666,-2.271661248746918
667,-2.270728251185302
668,-2.269865765440578
669,-2.26949308499474
670,-2.2692648413502523
671,-2.2689462003985668
672,-2.268519034073222
673,-2.2682441285242136
674,-2.267628260615976
675,-2.2683256510390253
676,-2.2691316795558434
677,-2.2702450243819534
678,-2.271024511246716
679,-2.271551970000959
680,-2.2717020485238333
681,-2.271554124864932
682,-2.272086178800878
683,-2.2733996030244343
684,-2.2749322086226886
685,-2.278644896273728
686,-2.2824868415183595
687,-2.2857280024462527
688,-2.288900090034832
689,-2.2908376443721954
690,-2.288210833318441
691,-2.288632857806908
692,-2.288387173509374
693,-2.284943064895523
694,-2.2815736111692138
695,-2.2805170323455215
696,-2.279490794603066
697,-2.277698613307254
698,-2.2757563803069
699,-2.2740829054816976
700,-2.2720448432975706
701,-2.2763121537964937
702,-2.2741812295080184
703,-2.271967339206876
704,-2.271146821177819
705,-2.2718194215148406
706,-2.27165099835568
707,-2.272621470081697
708,-2.273059575297556
709,-2.273234788017249
710,-2.2730210709908585
711,-2.2722679749349446
712,-2.271630585165669
713,-2.2707212234027967
714,-2.270786725557034
715,-2.270786031808247
716,-2.270969331163087
717,-2.270763624915306
718,-2.2700980120506093
719,-2.2692377842406035
720,-2.2680714432789246
721,-2.2659286044198543
722,-2.2634556199515607
723,-2.262122429231245
724,-2.259670997551728
725,-2.257752062096732
726,-2.2567497784880493
727,-2.2558972894688436
728,-2.2539273327116893
729,-2.252237886191214
730,-2.2508930149349355
731,-2.249503931184333
732,-2.2476961058644154
733,-2.2462740510399177
734,-2.2451186319804135
735,-2.2440320936151137
736,-2.2437113208138415
737,-2.2430518812874203
738,-2.242310082385755
739,-2.241607004076675
740,-2.2406742146686573
741,-2.239890717523452
742,-2.2399305354078063
743,-2.2395257914242395
744,-2.2391636251794713
745,-2.2388019460928392
746,-2.238170531809069
747,-2.236357962033689
748,-2.2344579949666414
749,-2.2316707648943526
750,-2.227982788549217
751,-2.2242641894265347
752,-2.21675117370137
753,-2.2129711671306778
754,-2.2093899445246974
755,-2.206306928008229
756,-2.2016901481463558
757,-2.197065610996537
758,-2.191012825807525
759,-2.184958130182288
760,-2.1789015232352043
761,-2.1743718728929684
762,-2.1662690632501382
763,-2.162851823146319
764,-2.159544345240115
765,-2.156300949831861
766,-2.1532498353582037
767,-2.150050718525149
768,-2.146383101809964
769,-2.1439039506242885
770,-2.1409320863141863
771,-2.1385778064728775
772,-2.1362085376307522
773,-2.1342209083445374
774,-2.132425843452048
775,-2.130894171574565
776,-2.128480814488575
777,-2.126508854211899
778,-2.1238939448414307
779,-2.1215664811969814
780,-2.1190153650772086
781,-2.115786486862869
782,-2.1120836708204935
783,-2.1086571449289107
784,-2.105526709024316
785,-2.1010736829353345
786,-2.0967522835388497
787,-2.091865955392959
788,-2.0867174356556166
789,-2.0814134846614216
790,-2.075618849831139
791,-2.07018281815294
792,-2.0689547094529868
793,-2.0630417895726314
794,-2.057126918703066
795,-2.0516326748938445
796,-2.045867356400401
797,-2.0398325121686245
798,-2.0333756805589607
799,-2.027123656895366
800,-2.0208191384573393
801,-2.0145125386637366
802,-2.008360330043888
803,-2.002208757919167
804,-1.9958653616390762
805,-1.9879473908729608
806,-1.9787648176629844
807,-1.9709050671541384
808,-1.9630425891135737
809,-1.95525774162168
810,-1.9475179861248364
811,-1.9395532814884602
812,-1.9320082369879055
813,-1.9236896118250693
814,-1.916207729606775
815,-1.9087232620068288
816,-1.903010682750022
817,-1.8963028451298012
818,-1.8905086884991134
819,-1.885468119040154
820,-1.8799157316955108
821,-1.8756613354942564
822,-1.8714057278476295
823,-1.8661951299047246
824,-1.860404489102753
825,-1.8540116447067083
826,-1.8470778931376692
827,-1.8396463592926153
828,-1.8319171780864618
829,-1.8241852588061631
830,-1.8164434465126584
831,-1.808696254848014
832,-1.8016377439518285
833,-1.7942385805346914
834,-1.7865280608660834
835,-1.7782828980122547
836,-1.7700347373108958
837,-1.76182215917889
838,-1.7538033738521
839,-1.7455463110013447
840,-1.7368176062782306
841,-1.7289743288473858
842,-1.720984584539936
843,-1.712090513641809
844,-1.704174998073765
845,-1.6952609157386664
846,-1.6869620170740873
847,-1.6773693071215225
848,-1.6670779326081755
849,-1.6567427135074047
850,-1.6464036358412164
851,-1.6361800033024751
852,-1.625983902578655
853,-1.6170546330942948
854,-1.60747060781698
855,-1.5984239063587404
856,-1.5891355997665597
857,-1.5798438290546928
858,-1.5705915936409127
859,-1.5612320622930698
860,-1.5532517246048876
861,-1.54601209865129
862,-1.5387058104320088
863,-1.5322212010230158
864,-1.5257342591194947
865,-1.5185242159621666
866,-1.5118830842567723
867,-1.5053165478543615
868,-1.5005538099934324
869,-1.4950073940256443
870,-1.489150586120501
871,-1.4832916266298968
872,-1.4770533230456548
873,-1.4690325274574487
874,-1.4620522105991531
875,-1.4558401463716493
876,-1.4490380129549862
877,-1.4431782063822123
878,-1.4373161861343426
879,-1.431762601472716
880,-1.4258654356068856
881,-1.418699646213442
882,-1.4114151340244785
883,-1.4046797667793447
884,-1.3986263357473971
885,-1.3925705440930978
886,-1.3868616824602364
887,-1.3812692641174422
888,-1.3748674904394633
889,-1.3673181003444839
890,-1.361542530360924
891,-1.35541106943439
892,-1.3492772615913653
893,-1.3432227011525972
894,-1.337091594273872
895,-1.329992964943485
896,-1.3225892523726044
897,-1.3172094121178848
898,-1.3118563719413823
899,-1.3065013034472681
900,-1.3013406341863298
901,-1.295167645133282
902,-1.2896828391527997
903,-1.2831956935228375
904,-1.275525749910253
905,-1.267737298357023
906,-1.2599458230783567
907,-1.2520800339153935
908,-1.2442448947674452
909,-1.236987014813069
910,-1.2318570661767678
911,-1.225624524310705
912,-1.2194291154614225
913,-1.213231267331551
914,-1.2066537067754268
915,-1.1962585171621374
916,-1.1895324731955652
917,-1.1829474945241767
918,-1.1761335053438398
919,-1.1691733932551838
920,-1.1620252207480979
921,-1.155337462227557
922,-1.149254987766735
923,-1.1424408504185903
924,-1.136101140077069
925,-1.129448701648224
926,-1.122590450604795
927,-1.1157350326431965
928,-1.108844294001143
929,-1.1006054869386102
930,-1.0926785881397771
931,-1.0859663154627421
932,-1.078285620721661
933,-1.0703533057189238
934,-1.0624615294668862
935,-1.0543431440816589
936,-1.0457197975415475
937,-1.0385258441106764
938,-1.030887350877844
939,-1.0245887007300105
940,-1.019388283527622
941,-1.0133132166477195
942,-1.0075849760452646
943,-1.0003927332214841
944,-0.993826594883739
945,-0.9906239323749206
946,-0.9828298716748938
947,-0.9749198869898077
948,-0.9670067229959605
949,-0.9592879325714376
950,-0.95127301148898
951,-0.9426451272580048
952,-0.935056249994008
953,-0.9264374693731545
954,-0.9188979293479225
955,-0.9113553522624898
956,-0.9038538285093649
957,-0.8951194619425138
958,-0.8849605569628558
959,-0.8743011552692508
960,-0.8639647559025363
961,-0.8513570913132229
962,-0.838744391625128
963,-0.8260942069623498
964,-0.8149380886650519
965,-0.803772219696592
966,-0.7985646327512725
967,-0.7912374499328658
968,-0.7854685845608165
969,-0.7796973238139957
970,-0.7713810729002253
971,-0.7622189768076639
972,-0.7537843856529305
973,-0.7446569055908885
974,-0.7354966117356234
975,-0.7270988404755663
976,-0.7078677317291628
977,-0.700004789767144
978,-0.6915729107810833
979,-0.6845302347918993
980,-0.6757850283141922
981,-0.6667510053507666
982,-0.6574338988639887
983,-0.6480426427367751
984,-0.6379983438519643
985,-0.6280331554409937
986,-0.6186185575668697
987,-0.6073104504048041
988,-0.5965646589679876
989,-0.5852879939421332
990,-0.5739366460430384
991,-0.5637754548149303
992,-0.5536566994138497
993,-0.5433238333534272
994,-0.5344084089532171
995,-0.5263963990789593
996,-0.5177372932389552
997,-0.5092455350153937
998,-0.5010996115474109
999,-0.4943408722344298
1000,-0.4852483855243248
1001,-0.47557380663939774
1002,-0.4653843851901547
1003,-0.4561462582995448
1004,-0.4469042066634117
1005,-0.4424903021148534
1006,-0.4336011844546901
1007,-0.42505785776643634
1008,-0.41782730227075415
1009,-0.41082067230746855
1010,-0.40257608164523084
1011,-0.39460221714156685
1012,-0.3872821025531499
1013,-0.38011608524598817
1014,-0.3724113541896399
1015,-0.3629339326842542
1016,-0.35276041462636964
1017,-0.3423257338492425
1018,-0.33196958102324103
1019,-0.3225384810920149
1020,-0.31168298715002773
1021,-0.30182380014839616
1022,-0.2902851902988406
1023,-0.2796608985322484
1024,-0.2707962199838505
1025,-0.2623175732277856
1026,-0.25441663115380475
1027,-0.2473279068467722
1028,-0.23928668955323396
1029,-0.23115127704646987
1030,-0.22298009118937934
1031,-0.21542929175177417
1032,-0.20879581647175627
1033,-0.20273521664190675
1034,-0.1961048033365671
1035,-0.18923798826069937
1036,-0.18138561518519492
1037,-0.1737655773119
1038,-0.1660278774437165
1039,-0.1591705009216513
1040,-0.15165975501064288
1041,-0.14380286933490538
1042,-0.134788409056128
1043,-0.12678681063065333
1044,-0.11809498632139714
1045,-0.109593094740009
1046,-0.0998987560003135
1047,-0.09028322568411351
1048,-0.08097208854978799
1049,-0.07214776796896771
1050,-0.06318594310592474
1051,-0.0545294399273244
1052,-0.04640780297683467
1053,-0.03860718707815636
1054,-0.030617462707262177
1055,-0.022432764115063897
1056,-0.01428733046432118
1057,-0.0052067065192016315
1058,0.0034915008872138387
1059,0.01211521156926132
1060,0.020555772338547662
1061,0.02934400241106694
1062,0.03732644506626759
1063,0.04457973858969222
1064,0.050948991519754294
1065,0.05670495580458823
1066,0.062496998505281454
1067,0.06454149708782975
1068,0.07009228824045532
1069,0.07633776135067372
1070,0.08300909596595929
1071,0.08887933347829602
1072,0.09458987784603057
1073,0.0993922613578837
1074,0.10420165221378141
1075,0.10897969016238918
1076,0.11368757140886743
1077,0.11974178911063937
1078,0.12406309318055708
1079,0.12842319815882863
1080,0.13278009988495043
1081,0.13733585209771526
1082,0.14216718166528075
1083,0.14615441556960018
1084,0.15057511082642971
1085,0.15416500190004623
1086,0.15848958695083226
1087,0.1626558972802128
1088,0.16755827091018993
1089,0.17292817514643577
1090,0.1793336622234456
1091,0.1844689201513665
1092,0.1921144409549278
1093,0.19934239431821865
1094,0.20707684477993027
1095,0.21397552616248205
1096,0.22118921668794567
1097,0.22705295588549834
1098,0.23361181625836025
1099,0.2395631708063437
1100,0.2452417586385076
1101,0.2502836229640213
1102,0.25483433680357237
1103,0.25927745998916585
1104,0.263105666926049
1105,0.26708806001291485
1106,0.27213150795023466
1107,0.2763573725960109
1108,0.2804491125925921
1109,0.28454254402449397
1110,0.28863766794063306
1111,0.29284550058812187
1112,0.29636164843521584
1113,0.3000402909276261
1114,0.30352463452364553
1115,0.30763985156336204
1116,0.31091838772427227
1117,0.31785198509120427
1118,0.3204072870278445
1119,0.32307831737823456
1120,0.32445119516687093
1121,0.32455195710309503
1122,0.3248699887385804
1123,0.3251881377508097
1124,0.32550640420812726
1125,0.32532266502707063
1126,0.3256460745096259
1127,0.32562685494635435
1128,0.32474706783209584
1129,0.3246739813048567
1130,0.3246008579672832
1131,0.32637401133097566
1132,0.3285725205929815
1133,0.3318137498739535
1134,0.33779557794684845
1135,0.34403548063050415
1136,0.3492472578771926
1137,0.3544611687025858
1138,0.3596710109718835
1139,0.3638388543332338
1140,0.3685083495496846
1141,0.37256054125282656
1142,0.3758504289670297
1143,0.37951972848686033
1144,0.38319051941172066
1145,0.3863938062061525
1146,0.38701010144743986
1147,0.38928666498048425
1148,0.39106111094888973
1149,0.3929015315307751
1150,0.3947196238629136
1151,0.39653845140177335
1152,0.39846802958088556
1153,0.40113115370837793
1154,0.40321543985872577
1155,0.40437357601153145
1156,0.4064846491123504
1157,0.4092678898779587
1158,0.41115083353555004
1159,0.41393527715745915
1160,0.41621637144923707
1161,0.41876890380783127
1162,0.4212833976314272
1163,0.4227123284001255
1164,0.42425645934509415
1165,0.42580118348367435
1166,0.4273465011587234
1167,0.42815653398334774
1168,0.4286987466379548
1169,0.4294324941674095
1170,0.42987781015421866
1171,0.43073008140683644
1172,0.43158269496589785
1173,0.43243565103601433
